,공연시설코드,시설특성,개관연도,주소,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이
417792,FC222279,공공(문예회관),2012.0,경기도 용인시 수지구 포은대로 499 (죽전동) 용인포은아트홀,N,N,N,N,N,Y,Y,Y,Y,Y,N,FC222279-01,1245,14,Y,Y,Y,4410
421425,FC222020,공공(문예회관),1995.0,경기도 과천시 통영로 5 (중앙동) ,Y,Y,N,N,N,Y,N,Y,N,Y,N,FC222020-02,380,4,N,Y,Y,233
421615,FC223313,공공(문예회관),1995.0,경상북도 포항시 남구 희망대로 850 (대도동) ,N,Y,N,N,N,Y,N,N,Y,Y,N,FC223313-01,984,12,Y,Y,Y,918
422092,FC223153,공공(문예회관),2018.0,경기도 남양주시 다산중앙로 7 (다산동) ,N,N,N,N,N,Y,N,N,N,Y,N,FC223153-01,486,6,N,Y,Y,7.5X9.5X7
423760,FC223099,민간(대학로),2018.0,서울특별시 종로구 동숭길 148 (혜화동) ,Y,Y,N,N,N,Y,N,N,N,Y,N,FC223099-03,352,4,N,N,Y,
429771,FC223099,민간(대학로),2018.0,서울특별시 종로구 동숭길 148 (혜화동) ,Y,Y,N,N,N,Y,N,N,N,Y,N,FC223099-02,264,4,N,N,Y,
434176,FC223099,민간(대학로),2018.0,서울특별시 종로구 동숭길 148 (혜화동) ,Y,Y,N,N,N,Y,N,N,N,Y,N,FC223099-02,264,4,N,N,Y,
435147,FC222506,민간(대학로 외),1999.0,서울특별시 영등포구 여의공원로 101 (여의도동) C.C.M.M빌딩 지하 2층,Y,Y,N,N,N,Y,N,N,N,Y,N,FC222506-01,598,8,N,N,Y,
435208,FC223684,국립,2013.0,서울특별시 광진구 능동로 216 (능동) ,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,FC223684-01,220,6,N,N,Y,449.0
436851,FC224284,민간(대학로 외),2019.0,서울특별시 종로구 창의문로 129 (부암동) 2층,N,N,N,N,N,N,N,N,N,N,Y,FC224284-01,20,N,N,N,N,
436989,FC223807,공공(문예회관),2017.0,경상북도 구미시 인동가산로 392 (구평동) 강동문화복지회관 강동문화복지회관,N,Y,N,N,N,Y,Y,Y,Y,Y,N,FC223807-01,667,8,Y,N,Y,641.2
438219,FC223458,민간(대학로),2014.0,서울특별시 종로구 대학로12길 21 (동숭동) 예스24스테이지,N,N,N,N,N,N,N,N,N,Y,N,FC223458-01,406,N,N,N,Y,88.0
442294,FC223458,민간(대학로),2014.0,서울특별시 종로구 대학로12길 21 (동숭동) 예스24스테이지,N,N,N,N,N,N,N,N,N,Y,N,FC223458-02,301,N,N,N,Y,68.0
448920,FC223458,민간(대학로),2014.0,서울특별시 종로구 대학로12길 21 (동숭동) 예스24스테이지,N,N,N,N,N,N,N,N,N,Y,N,FC223458-03,255,N,N,Y,Y,65
450560,FC223458,민간(대학로),2014.0,서울특별시 종로구 대학로12길 21 (동숭동) 예스24스테이지,N,N,N,N,N,N,N,N,N,Y,N,FC223458-03,255,N,N,Y,Y,65
451134,FC223897,공공(문예회관),2016.0,경상남도 밀양시 밀양대공원로 112 (교동) 밀양아리랑아트센터,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,FC223897-01,765,10,N,N,Y,221
