,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
3740,미입력,미입력,선택,pc,F,사업자,236370.0,211940.0,0.0,0.0,0.0,F
3564,미입력,미입력,미입력,pc,F,일반,943190.0,847300.0,5.0,10810.0,0.0,F
2748,미입력,미입력,미입력,pc,F,전화주문 고객,436230.0,367130.0,0.0,0.0,0.0,F
740,미입력,미입력,선택,pc,F,사업자,369490.0,369490.0,0.0,1600.0,0.0,T
1922,미입력,미입력,선택,pc,F,전화주문 고객,68800.0,54300.0,0.0,0.0,0.0,F
3955,미입력,남자,선택,pc,F,전화주문 고객,164120.0,164120.0,1.0,1000.0,0.0,F
602,미입력,미입력,선택,pc,F,사업자,319670.0,316670.0,15.0,4700.0,0.0,T
1588,미입력,미입력,선택,pc,F,전화주문 고객,215490.0,178990.0,0.0,0.0,0.0,F
2153,미입력,미입력,선택,pc,F,전화주문 고객,696620.0,284900.0,0.0,0.0,0.0,F
3596,미입력,미입력,선택,pc,F,사업자,530080.0,475230.0,2.0,3950.0,0.0,T
3061,미입력,미입력,선택,pc,F,사업자,116240.0,86240.0,0.0,1420.0,0.0,T
1592,미입력,미입력,선택,pc,F,전화주문 고객,539880.0,275080.0,0.0,0.0,0.0,T
1775,미입력,미입력,선택,pc,F,전화주문 고객,58410.0,49610.0,0.0,0.0,0.0,T
1599,미입력,미입력,선택,pc,F,사업자,180400.0,153700.0,0.0,2400.0,0.0,F
644,미입력,미입력,선택,pc,F,전화주문 고객,61900.0,61900.0,0.0,0.0,0.0,F
3096,미입력,미입력,선택,pc,F,사업자,295720.0,224070.0,3.0,2890.0,0.0,T
2768,미입력,미입력,선택,pc,F,전화주문 고객,60540.0,45540.0,0.0,0.0,0.0,T
2044,미입력,미입력,선택,pc,F,사업자,165050.0,128950.0,0.0,1640.0,0.0,T
2643,미입력,미입력,미입력,pc,F,전화주문 고객,94020.0,64020.0,0.0,0.0,0.0,F
441,미입력,미입력,선택,pc,F,사업자,67800.0,67800.0,1.0,1300.0,0.0,T
62,미입력,남자,선택,pc,F,전화주문 고객,351250.0,187250.0,0.0,1000.0,0.0,F
