,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
4773,F2203030281,원단검사,FCM08,324,78.3,1000,25.0,77.12,0,135.0,137.0,0.0,1.0148148148148148,61,537,33,419,5.306342
11626,F2206200066,원단검사,FCM08,625,60.2,1000,52.0,95.71,0,30.0,33.4,0.0,1.1133333333333333,51,164,51,40,1.039721
22750,F2208020101,염색,FCM06,314,93.4,2000,269.0,13.0,0,55.7,55.6,0.0,0.9982046678635548,18,27,61,18,0.4271967
32939,F2208300164,원단검사,FCM06,460,155.6,2000,33.0,76.4,0,70.0,68.5,0.0,0.9785714285714284,7,501,7,283,1.013855
2593,F2202180571,원단검사,FCM11,495,362.5,4000,73.0,24.66,0,72.4,71.7,0.0,0.9903314917127072,83,19,106,14,1.484328
27266,F2208120058,원단검사,FCM12,460,33.5,600,18.0,2.8,50,30.0,38.1,0.762,1.27,51,2,0,0,2.023612
13634,F2206290342,원단검사,FCM08,560,60.8,1000,10.0,78.8,0,86.4,86.2,0.0,0.9976851851851852,58,225,60,69,0.3221368
1964,F2202180262,원단검사,FCM11,495,329.3,4000,126.0,15.69,0,50.3,48.5,0.0,0.9642147117296224,95,10,126,8,1.476973
17699,F2207250110,염색,FCM15,146,189.1,4000,1600.0,6.38,135,51.8,50.9,0.377037037037037,0.9826254826254828,146,5,145,5,0.4288969
718,F2202030003,원단검사,FCM11,1150,297.2,4000,250.0,63.32,0,74.7,80.6,0.0,1.078982597054886,0,295,80,331,2.01561
14826,F2207040146,원단검사,FCM08,294,80.1,1000,254.0,48.08,0,104.4,104.0,0.0,0.9961685823754788,72,230,69,235,0.319741
27357,F2208120058,원단검사,FCM12,460,33.5,600,18.0,31.15,0,130.0,129.8,0.0,0.9984615384615384,43,101,0,0,2.023612
23358,F2208030136,원단검사,FCM05,480,156.4,2000,242.0,87.71,0,125.0,123.4,0.0,0.9872,19,306,96,238,2.855713
5353,F2203080141,원단검사,FCM07,560,286.8,4000,450.0,31.01,0,102.9,103.3,0.0,1.0038872691933916,84,25,76,29,3.629072
13331,F2206290331,원단검사,FCM08,560,71.1,1000,71.0,61.74,0,88.6,88.6,0.0,1.0,65,229,515,49,14.40188
25261,F2208090010,염색,FCM08,800,66.0,1000,75.0,57.61,0,70.0,69.0,0.0,0.9857142857142858,3,381,30,342,0.3451779
4650,F2203030281,원단검사,FCM08,324,78.3,1000,25.0,52.86,0,108.6,107.8,0.0,0.992633517495396,66,345,64,272,5.306342
8020,F2204080072,원단검사,FCM05,450,129.0,2000,92.0,10.5,30,76.8,77.4,2.58,1.0078125000000002,17,30,84,18,1.000596
8250,F2204080072,원단검사,FCM05,450,129.0,2000,92.0,70.87,0,70.0,68.5,0.0,0.9785714285714284,27,258,84,165,1.000596
28433,F2208120070,원단검사,FCM08,460,51.5,1000,36.0,0.5,30,30.0,29.2,0.9733333333333332,0.9733333333333332,79,1,0,0,0.8660321
26766,F2208110087,원단검사,FCM05,620,189.8,2000,266.0,37.7,0,130.0,129.9,0.0,0.9992307692307691,75,91,81,73,0.3338742
15737,F2207080047,원단검사,FCM06,450,164.2,2000,173.0,11.41,0,91.1,90.8,0.0,0.9967069154774972,11,53,84,30,1.362835
24227,F2208040155,원단검사,FCM08,460,61.4,1000,1.0,48.43,0,130.0,129.8,0.0,0.9984615384615384,28,712,45,575,0.6079773
31388,F2208300003,원단검사,FCM05,800,167.0,2000,84.0,96.17,0,30.0,32.5,0.0,1.0833333333333333,33,197,65,131,7.266841
7411,F2203280005,원단검사,FCM08,324,38.8,1000,96.0,14.76,0,99.2,99.5,0.0,1.003024193548387,70,44,646,11,0.2916726
33111,F2208300552,원단검사,FCM08,324,38.0,1000,19.0,19.01,0,89.0,89.1,0.0,1.001123595505618,72,33,143,10,0.8450533
28262,F2208120067,원단검사,FCM08,460,46.4,1000,3.0,35.14,0,130.0,130.2,0.0,1.0015384615384617,61,81,499,28,1.068646
12284,F2206290114,원단검사,FCM05,625,220.3,2000,201.0,31.61,0,130.0,130.1,0.0,1.0007692307692306,108,71,103,47,0.9501897
12570,F2206290140,원단검사,FCM06,625,218.2,2000,14.0,17.28,0,100.0,99.8,0.0,0.998,31,53,97,39,0.5479724
24841,F2208080026,원단검사,FCM06,320,108.2,2000,343.0,5.78,80,41.8,41.4,0.5175,0.9904306220095694,74,11,3,8,2.006101
14742,F2207040146,원단검사,FCM08,294,80.1,1000,254.0,23.3,0,84.9,84.8,0.0,0.9988221436984688,71,143,8,143,0.319741
26168,F2208090910,원단검사,FCM11,400,295.4,4000,334.0,34.18,0,97.7,96.7,0.0,0.9897645854657112,90,30,106,29,5.220153
30257,F2208260120,원단검사,FCM12,450,53.2,600,100.0,15.56,0,54.7,53.7,0.0,0.9817184643510056,66,20,0,0,0.7367827
6323,F2203080238,원단검사,FCM12,235,19.8,600,33.0,81.35,0,80.0,79.8,0.0,0.9975,31,268,0,0,1.645152
30425,F2208290101,원단검사,FCM11,604,311.2,4000,600.0,7.41,135,30.0,27.0,0.2,0.9,64,1,109,1,0.2728531
27708,F2208120066,원단검사,FCM08,460,48.0,1000,3.0,21.92,0,103.1,102.8,0.0,0.997090203685742,66,112,598,30,1.644801
17560,F2207250109,염색,FCM15,146,188.4,4000,1600.0,54.72,0,127.8,128.2,0.0,1.003129890453834,129,59,124,83,0.5068955
12171,F2206220054,원단검사,FCM08,560,63.6,1000,10.0,98.35,0,30.0,32.3,0.0,1.0766666666666669,31,1306,34,1052,1.315164
28281,F2208120067,원단검사,FCM08,460,46.4,1000,3.0,42.47,0,130.0,130.1,0.0,1.0007692307692306,61,101,314,33,1.068646
